mood_industry,primary_color,secondary_color,background_color,text_color,accent_color,heading_font,body_font
Trustworthy pediatric hospital,#3A86C8,#FFB84C,#F4F9F9,#2C3E50,#F2668B,Quicksand,Nunito
Aggressive heavy metal fitness app,#111111,#800000,#1A1A1A,#E0E0E0,#FF3333,Russo One,Barlow Condensed
Calm minimalist meditation guide,#8EA89D,#D3C5B5,#FAF8F5,#3D403A,#E0A96D,Playfair Display,Inter
High-end luxury watch store,#0D0D0D,#C5A880,#141414,#EAEAEA,#9A7B56,Cinzel,Montserrat
Eco-friendly organic grocery,#2E5A44,#8FA882,#F9F6F0,#3C2F2F,#D97A53,Fraunces,DM Sans
Neon cyberpunk gaming forum,#0F0C1B,#00F0FF,#05050A,#E2E8F0,#FF007F,Orbitron,Share Tech
Vintage 1950s diner POS system,#3F828F,#C94A4A,#F9F3E3,#2B2321,#EAA83A,Pacifico,Arvo
Corporate financial dashboard,#0F172A,#3B82F6,#F8FAFC,#1E293B,#10B981,Plus Jakarta Sans,Inter
Playful kindergarten learning app,#3498DB,#F1C40F,#FFFDF0,#2C3E50,#E67E22,Fredoka,Quicksand
Dark mode developer portfolio,#0F172A,#10B981,#020617,#F1F5F9,#6366F1,Fira Code,JetBrains Mono
